date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:33	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6442fd6d-88d62a4c35ab6c96;gz%22	https://bi-GramFinance/robots.txt		(from )
16:23:33	59360/59360	---M-Z	200	added ('OK')	text/html	etag:%22e7e0-656c123a-6a829e3e8158de2f;gz%22	https://bi-GramFinance/	C:/Users/User/Desktop/BYGRAM/bi-GramFinance/index.html	(from )
16:23:34	37461/37461	---M--	200	added ('OK')	image/jpeg	etag:%229255-656c123b-9a8da9925f168618;;;%22	https://bi-GramFinance/1.jpeg	C:/Users/User/Desktop/BYGRAM/bi-GramFinance/1.jpg	(from https://bi-GramFinance/)
16:23:35	33645/33645	---M--	200	added ('OK')	image/png	etag:%22836d-656c123b-bc5c3c8d6a87a975;;;%22	https://bi-GramFinance/assets/img/favicon.png	C:/Users/User/Desktop/BYGRAM/bi-GramFinance/assets/img/favicon.png	(from https://bi-GramFinance/)
16:23:35	55081/55081	---M-Z	200	added ('OK')	text/css	etag:%22d729-656c123b-de75b42543189e5f;gz%22	https://bi-GramFinance/assets/css/fontawesome.min.css	C:/Users/User/Desktop/BYGRAM/bi-GramFinance/assets/css/fontawesome.min.css	(from https://bi-GramFinance/)
16:23:36	89753/89753	---M-Z	200	added ('OK')	text/css	etag:%2215e99-656c123b-85f73d3352f97ab0;gz%22	https://bi-GramFinance/assets/css/line-awesome.min.css	C:/Users/User/Desktop/BYGRAM/bi-GramFinance/assets/css/line-awesome.min.css	(from https://bi-GramFinance/)
16:23:36	3000/3000	---M-Z	200	added ('OK')	text/css	etag:%22bb8-656c123b-950dc017cf942331;gz%22	https://bi-GramFinance/assets/css/business-icon.css	C:/Users/User/Desktop/BYGRAM/bi-GramFinance/assets/css/business-icon.css	(from https://bi-GramFinance/)
16:23:37	59198/59198	---M-Z	200	added ('OK')	text/css	etag:%22e73e-656c123b-4cbbe9dc849734aa;gz%22	https://bi-GramFinance/assets/css/animate.min.css	C:/Users/User/Desktop/BYGRAM/bi-GramFinance/assets/css/animate.min.css	(from https://bi-GramFinance/)
16:23:38	160346/160346	---M-Z	200	added ('OK')	text/css	etag:%222725a-656c123b-143610b40dca52e;gz%22	https://bi-GramFinance/assets/css/bootstrap.min.css	C:/Users/User/Desktop/BYGRAM/bi-GramFinance/assets/css/bootstrap.min.css	(from https://bi-GramFinance/)
16:23:38	1327/1327	---M-Z	200	added ('OK')	text/css	etag:%2252f-656c123b-3feb75795e122aad;gz%22	https://bi-GramFinance/assets/css/slick.min.css	C:/Users/User/Desktop/BYGRAM/bi-GramFinance/assets/css/slick.min.css	(from https://bi-GramFinance/)
